1916 - List of Metro Data

For explanatory notes see the Methods page on our website: www.usreligioncensus.org

Metro Area,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,Adherents %,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
"Aberdeen, SD, Micropolitan Statistical Area",33521,481,11880,485,0,818,35.4,603,0,366
"Aberdeen, WA, Micropolitan Statistical Area",35590,511,5520,719,0,753,15.5,860,0,371
"Abilene, TX, Metropolitan Statistical Area",63565,690,21665,268,0,50,34.1,629,0,470
"Ada, OK, Micropolitan Statistical Area",24331,319,4151,773,0,24,17.1,853,0,343
"Adrian, MI, Micropolitan Statistical Area",47907,604,13738,420,0,623,28.7,724,0,758
"Akron, OH, Metropolitan Statistical Area",138560,813,71258,74,0,296,51.4,171,0,633
"Alamogordo, NM, Micropolitan Statistical Area",7069,54,3423,804,0,147,48.4,225,0,795
"Albany, GA, Metropolitan Statistical Area",76837,732,28140,212,0,766,36.6,564,0,211
"Albany, OR, Metropolitan Statistical Area",22662,290,6346,686,0,654,28.0,734,0,788
"Albany-Schenectady-Troy, NY, Metropolitan Statistical Area",469949,873,256556,20,0,80,54.6,120,0,480
"Albemarle, NC, Micropolitan Statistical Area",19909,247,10383,538,0,106,52.2,157,0,591
"Albert Lea, MN, Micropolitan Statistical Area",22282,282,9026,591,0,318,40.5,454,0,715
"Albertville, AL, Micropolitan Statistical Area",28553,387,9780,564,0,210,34.3,625,0,454
"Albuquerque, NM, Metropolitan Statistical Area",55624,652,52483,102,0,408,94.4,11,0,45
"Alexandria, LA, Metropolitan Statistical Area",60503,677,27986,214,0,772,46.3,287,0,126
"Alexandria, MN, Micropolitan Statistical Area",17669,203,6365,685,0,651,36.0,582,0,282
"Alice, TX, Micropolitan Statistical Area",0,1,3780,794,0,107,,889,,889
"Allentown-Bethlehem-Easton, PA-NJ, Metropolitan Statistical Area",342532,864,196570,30,0,120,57.4,88,0,352
"Alma, MI, Micropolitan Statistical Area",28820,394,7133,666,0,594,24.8,787,0,80
"Alpena, MI, Micropolitan Statistical Area",19965,248,10699,527,0,63,53.6,131,0,513
"Altoona, PA, Metropolitan Statistical Area",108858,786,61006,88,0,352,56.0,106,0,424
"Altus, OK, Micropolitan Statistical Area",23737,308,5968,705,0,711,25.1,771,0,16
"Amarillo, TX, Metropolitan Statistical Area",21357,265,7217,661,0,579,33.8,635,0,491
"Americus, GA, Micropolitan Statistical Area",34305,496,13381,433,0,662,39.0,498,0,847
"Ames, IA, Metropolitan Statistical Area",24083,315,11595,496,0,851,48.1,235,0,825
"Amsterdam, NY, Micropolitan Statistical Area",57567,665,28643,207,0,751,49.8,201,0,723
"Andrews, TX, Micropolitan Statistical Area",975,13,165,893,0,503,16.9,854,0,347
"Angola, IN, Micropolitan Statistical Area",14274,150,4742,750,0,846,33.2,641,0,509
"Ann Arbor, MI, Metropolitan Statistical Area",44714,581,21277,274,0,73,47.6,249,0,867
"Anniston-Oxford-Jacksonville, AL, Metropolitan Statistical Area",39115,539,19393,302,0,185,49.6,205,0,735
"Appleton, WI, Metropolitan Statistical Area",65803,702,44012,126,0,504,66.9,36,0,145
"Arcadia, FL, Micropolitan Statistical Area",14200,146,7116,667,0,597,50.1,193,0,699
"Ardmore, OK, Micropolitan Statistical Area",25358,337,7868,632,0,482,31.0,686,0,644
"Arkadelphia, AR, Micropolitan Statistical Area",23686,305,11933,484,0,815,50.4,189,0,687
"Arkansas City-Winfield, KS, Micropolitan Statistical Area",31790,461,11310,501,0,866,35.6,599,0,350
"Asheville, NC, Metropolitan Statistical Area",107212,784,47569,114,0,456,44.4,337,0,325
"Ashland, OH, Micropolitan Statistical Area",22975,298,11616,494,0,845,50.6,186,0,678
"Ashtabula, OH, Micropolitan Statistical Area",59547,671,21642,269,0,54,36.3,576,0,258
"Astoria, OR, Micropolitan Statistical Area",16106,172,1945,849,0,327,12.1,878,0,443
"Atchison, KS, Micropolitan Statistical Area",28107,381,10115,550,0,154,36.0,583,0,286
"Athens, OH, Micropolitan Statistical Area",47798,602,13537,427,0,644,28.3,728,0,770
"Athens, TN, Micropolitan Statistical Area",21046,260,7449,651,0,549,35.4,606,0,378
"Athens, TX, Micropolitan Statistical Area",20131,250,7829,634,0,490,38.9,506,0,871
"Athens-Clarke County, GA, Metropolitan Statistical Area",69908,715,27436,219,0,787,39.2,490,0,823
"Atlanta-Sandy Springs-Roswell, GA, Metropolitan Statistical Area",646399,883,330720,15,0,61,51.2,177,0,651
"Atlantic City-Hammonton, NJ, Metropolitan Statistical Area",71894,723,28799,205,0,745,40.1,468,0,757
"Auburn, IN, Micropolitan Statistical Area",25054,333,9687,572,0,242,38.7,512,0,3
"Auburn, NY, Micropolitan Statistical Area",67106,709,32148,173,0,649,47.9,242,0,846
"Auburn-Opelika, AL, Metropolitan Statistical Area",32867,469,19269,303,0,189,58.6,79,0,316
"Augusta-Richmond County, GA-SC, Metropolitan Statistical Area",187651,837,110064,48,0,192,58.7,78,0,312
"Augusta-Waterville, ME, Micropolitan Statistical Area",62863,686,24998,238,0,844,39.8,475,0,778
"Austin, MN, Micropolitan Statistical Area",22640,289,10852,519,0,31,47.9,241,0,843
"Austin-Round Rock, TX, Metropolitan Statistical Area",162947,824,77146,69,0,276,47.3,256,0,2
"Bainbridge, GA, Micropolitan Statistical Area",29045,400,12757,453,0,722,43.9,355,0,397
"Bakersfield, CA, Metropolitan Statistical Area",37715,528,8032,624,0,450,21.3,830,0,251
"Baltimore-Columbia-Towson, MD, Metropolitan Statistical Area",815231,889,387832,10,0,41,47.6,250,0,870
"Bangor, ME, Metropolitan Statistical Area",85285,752,28808,204,0,742,33.8,636,0,494
"Baraboo, WI, Micropolitan Statistical Area",32869,470,14258,403,0,572,43.4,373,0,469
"Bardstown, KY, Micropolitan Statistical Area",16830,190,12725,455,0,728,75.6,21,0,85
"Barnstable Town, MA, Metropolitan Statistical Area",27542,371,7855,633,0,486,28.5,727,0,767
